Numéro;Heure;Pos_X_centrale;Pos_Y_centrale;Pos_Z_centrale;Angle_X_centrale;Angle_Y_centrale;Angle_Z_centrale
;x10 µs;m;m;m;rad;rad;rad
0;112800;256;15;65535;11;22;33;
1;195000;256;15;65535;11;22;33;
2;277400;256;15;65535;11;22;33;
3;359700;32707;33729;32768;11;22;33;
4;442200;32704;33733;50944;11;22;33;
5;524700;32704;33733;50944;11;22;33;
6;607100;32704;51140;32768;11;22;33;
7;689600;32704;51140;32768;11;22;33;
8;771900;32707;33732;32768;11;22;33;
9;854300;32704;33730;32768;11;22;33;
10;936700;32704;33730;32768;11;22;33;
11;1019000;32705;33730;32768;11;22;33;
12;1101500;32705;33732;32769;11;22;33;
13;1184000;32705;33732;32769;11;22;33;
14;1266300;32706;33729;33022;11;22;33;
15;1348700;32706;33729;33022;11;22;33;
16;1431100;32705;33728;32769;11;22;33;
17;1513600;32705;33730;32766;11;22;33;
18;1596200;32705;33730;32766;11;22;33;
19;1678500;32705;33730;32766;11;22;33;
20;1760700;32703;33730;32768;11;22;33;
21;1843300;32703;33730;32768;11;22;33;
22;1925700;32703;33730;32768;11;22;33;
23;2008000;32703;33730;32768;11;22;33;
24;2090400;32702;33732;32768;11;22;33;
25;2172900;51134;33729;32767;11;22;33;
26;2255400;51134;33729;32767;11;22;33;
27;2337800;32703;33732;32768;11;22;33;
28;2420300;32703;33732;32768;11;22;33;
29;2502700;32703;33732;32768;11;22;33;
30;2584900;32703;33729;32767;11;22;33;
31;2667400;32703;33729;32767;11;22;33;
32;2749800;32704;33731;32767;11;22;33;
33;2832300;32705;33731;32767;11;22;33;
34;2914900;32705;33731;32767;11;22;33;
35;2997100;32707;33731;32768;11;22;33;
36;3079700;32705;33731;32768;11;22;33;
37;3162200;32705;33731;32768;11;22;33;
38;3244600;32705;33731;32768;11;22;33;
39;3326800;32705;33731;32768;11;22;33;
40;3409000;32706;33731;50944;11;22;33;
41;3491600;32707;33730;32768;11;22;33;
42;3574100;32707;33730;32768;11;22;33;
43;3656500;32706;51137;32711;11;22;33;
44;3738900;32705;33732;32780;11;22;33;
45;3821500;32705;33732;32780;11;22;33;
46;3903800;32699;33735;32967;11;22;33;
47;3986300;32699;33735;32967;11;22;33;
48;4068500;32700;33719;32839;11;22;33;
